OBJECTID,RCSTA,RC Code,Roadway Name,Station Start,Station End,Functional Class,Factor Group,Specific Recorder Placement,Channel Notes,Vehicle Axle Code,Count Year,Count Month,Day of First Data,Federal Direction,Full Count,1200am-0100am,0100am-0200am,0200am-0300am,0300am-0400am,0400am-0500am,0500am-0600am,0600am-0700am,0700am-0800am,0800am-0900am,0900am-1000am,1000am-1100am,1100am-1200pm,1200pm-0100pm,0100pm-0200pm,0200pm-0300pm,0300pm-0400pm,0400pm-0500pm,0500pm-0600pm,0600pm-0700pm,0700pm-0800pm,0800pm-0900pm,0900pm-1000pm,1000pm-1100pm,1100pm-1200pm,Average Weekday Daily Traffic,Seasonal Factor,Axle Factor,AADT,High Hour Value,High Hour Interval,Average Weekday F1S,Average Weekday F2S,Average Weekday F3S,Average Weekday F4S,Average Weekday F5S,Average Weekday F6S,Average Weekday F7S,Average Weekday F8S,Average Weekday F9S,Average Weekday F10S,Average Weekday F11S,Average Weekday F12S,Average Weekday F13S,Average Weekday Unclassified,Average Weekday Totals,Average Weekday Percent F3_13,Average Weekday Percent F4_13,Average Weekday Percent F4_7,Average Weekday Percent F8_13,Average Weekday Percent F1,Average Weekday Percent F2,Average Weekday Percent F3,Average Weekday Percent F4,Average Weekday Percent F5_7,Axle Correction Factor,Single Unit Peak,Combination Unit Peak,Single Unit AADT,Combination Unit AADT,Average Speed,50th Percentile Speed,85th Percentile Speed,Vehicles Exceeding 55mph,Vehicles Exceeding 65mph,Region,Region Number,County Number,Municipality,Latitude,Longitude,x,y
30870258,364036,36,E STATE ST,AUORA ST,SENECA ST/GREEN ST SPLIT,16,30,113' W of Seneca Way        ,,1,2016,9,27,Combined Total,Y,67,58,30,26,30,47,149,274,419,367,351,394,425,411,430,488,506,547,470,411,328,278,199,122,6827,1.074,1,6356,547,18,23,6037,565,50,84,12,4,6,1,0,0,0,0,,6782,11,2,2,0,0,89,8,1,1,1,0,0,,,15,13,22,0,0,,3,6,,42.43956,-76.49466,377070.0893000001,4699664.080600001
30870259,364038,36,STEWART AVE,UNIVERSITY AVE,WILLARD WAY,17,30,151' S of Willard way       ,NB travel lane                                    ,1,2016,9,26,Northbound,,25,18,11,3,1,3,9,32,67,46,52,61,66,82,66,77,107,146,94,80,74,62,43,44,1269,1.074,1,1182,146,18,5,1141,95,15,7,2,0,0,0,0,0,0,0,,1265,9,2,2,0,0,90,8,1,1,1,0,0,,,19,22,25,0,0,,3,6,,42.45009,-76.49052,377431.12799999956,4700827.3542
30870260,364038,36,STEWART AVE,UNIVERSITY AVE,WILLARD WAY,17,30,151' S of Willard way       ,Wb travel lane                                    ,1,2016,9,26,Southbound,,20,14,6,3,2,5,19,80,150,98,72,76,90,78,67,83,92,123,114,97,62,56,45,33,1485,1.074,1,1383,150,9,8,1339,112,18,11,0,0,0,0,0,0,0,0,,1488,9,2,2,0,1,90,8,1,1,1,0,0,,,20,22,25,0,0,,3,6,,42.45009,-76.49052,377431.12799999956,4700827.3542
30870261,364038,36,STEWART AVE,UNIVERSITY AVE,WILLARD WAY,17,30,151' S of Willard way       ,,1,2016,9,26,Combined Total,Y,45,32,17,6,3,8,28,112,217,144,124,137,156,160,133,160,199,269,208,177,136,118,88,77,2754,1.074,1,2565,269,18,13,2480,207,33,18,2,0,0,0,0,0,0,0,,2753,9,2,2,0,0,90,8,1,1,1,0,0,,,19,22,25,0,0,,3,6,,42.45009,-76.49052,377431.12799999956,4700827.3542
30870262,364041,36,TIOGA ST,TOMPKINS ST,E LINCOLN ST,17,30,50' N of East Lewis St      ,NB travel lane                                    ,1,2016,9,26,Northbound,,2,1,2,1,1,1,3,23,29,20,22,18,20,27,19,38,28,42,28,13,14,6,6,4,368,1.074,1,343,42,18,1,328,20,0,1,0,0,0,0,0,0,0,0,,350,6,0,0,0,0,94,6,0,0,1,0,0,,,14,11,18,0,0,,3,6,,42.44973,-76.49746,376859.7187999999,4700797.4257
30870263,364041,36,TIOGA ST,TOMPKINS ST,E LINCOLN ST,17,30,50' N of East Lewis St      ,SB travel lane                                    ,1,2016,9,26,Southbound,,2,1,0,0,0,1,6,26,76,36,28,31,32,29,38,70,51,52,34,25,22,11,9,6,586,1.074,1,546,76,9,3,517,40,1,3,0,0,0,0,0,0,0,0,,564,8,1,1,0,1,92,7,0,1,1,0,0,,,14,11,19,0,0,,3,6,,42.44973,-76.49746,376859.7187999999,4700797.4257
30870264,364041,36,TIOGA ST,TOMPKINS ST,E LINCOLN ST,17,30,50' N of East Lewis St      ,,1,2016,9,26,Combined Total,Y,4,2,2,1,1,2,9,49,105,56,50,49,52,56,57,108,79,94,62,38,36,17,15,10,954,1.074,1,889,108,16,4,845,60,1,4,0,0,0,0,0,0,0,0,,914,7,1,1,0,0,92,7,0,0,1,0,0,,,14,11,19,0,0,,3,6,,42.44973,-76.49746,376859.7187999999,4700797.4257
30870265,364045,36,ELMIRA RD,S PLAIN ST,TRAFFIC CIR/S ALBANY ST,16,30,270' N of S Plain St        ,NB travel lane                                    ,1,2016,9,27,Northbound,,27,17,11,14,37,68,178,349,344,260,248,270,345,358,295,313,343,355,281,265,195,145,85,46,4849,1.074,1,4515,358,14,11,4051,623,34,97,5,0,2,0,0,0,0,0,,4823,16,3,3,0,0,84,13,1,2,1,0,0,,,29,30,34,0,0,,3,6,,42.43114,-76.50268,376393.9124999996,4698740.762800001
30870266,364045,36,ELMIRA RD,S PLAIN ST,TRAFFIC CIR/S ALBANY ST,16,30,270' N of S Plain St        ,SB travel lane                                    ,1,2016,9,27,Southbound,,25,20,16,11,14,23,71,164,235,271,292,361,469,408,437,552,687,598,395,271,210,152,87,52,5821,1.074,1,5420,687,17,20,4864,774,25,92,6,0,7,0,0,0,0,0,,5788,16,2,2,0,0,84,13,0,2,1,0,0,,,30,31,34,0,0,,3,6,,42.43114,-76.50268,376393.9124999996,4698740.762800001
30870267,364045,36,ELMIRA RD,S PLAIN ST,TRAFFIC CIR/S ALBANY ST,16,30,270' N of S Plain St        ,,1,2016,9,27,Combined Total,Y,52,37,27,25,51,91,249,513,579,531,540,631,814,766,732,865,1030,953,676,536,405,297,172,98,10670,1.074,1,9935,1030,17,31,8915,1397,59,189,11,0,9,0,0,0,0,0,,10611,16,3,2,0,0,84,13,1,2,1,0,0,,,30,30,34,0,0,,3,6,,42.43114,-76.50268,376393.9124999996,4698740.762800001
30870268,366013,36,BRINDLEY ST,TABER ST,SENECA ST,19,30,282' S of W Seneca St       ,NB travel lane                                    ,1,2016,9,27,Northbound,,3,2,1,3,2,1,9,18,34,46,50,58,75,70,66,70,96,83,75,43,33,23,13,9,883,1.074,1,822,96,17,4,727,127,0,20,0,0,0,0,0,0,0,0,,878,17,2,2,0,0,83,14,0,2,1,0,0,,,15,13,22,0,0,,3,6,,42.43917,-76.51332,375534.5733000003,4699647.966700001
30870269,366013,36,BRINDLEY ST,TABER ST,SENECA ST,19,30,282' S of W Seneca St       ,SB travel lane                                    ,1,2016,9,27,Southbound,,2,1,1,2,5,17,43,103,125,102,96,110,114,106,110,134,113,92,62,32,29,19,10,5,1433,1.074,1,1334,134,16,6,1192,211,0,19,1,0,0,0,0,0,0,0,,1429,16,1,1,0,0,83,15,0,1,1,0,0,,,15,15,23,0,0,,3,6,,42.43917,-76.51332,375534.5733000003,4699647.966700001
30870270,366013,36,BRINDLEY ST,TABER ST,SENECA ST,19,30,282' S of W Seneca St       ,,1,2016,9,27,Combined Total,Y,5,3,2,5,7,18,52,121,159,148,146,168,189,176,176,204,209,175,137,75,62,42,23,14,2316,1.074,1,2156,209,17,10,1919,338,0,39,1,0,0,0,0,0,0,0,,2307,16,2,2,0,0,83,15,0,2,1,0,0,,,15,14,23,0,0,,3,6,,42.43917,-76.51332,375534.5733000003,4699647.966700001
30870271,366026,36,LINN ST,E COURT ST,DEAD END,19,30,166' S of E Yate St         ,NB travel lane                                    ,1,2016,9,26,Northbound,,1,1,1,0,0,0,2,20,9,5,6,10,11,14,12,12,15,25,11,10,8,5,2,2,182,1.074,1,169,25,18,0,173,8,1,0,0,0,0,0,0,0,0,0,,182,5,1,1,0,0,95,4,1,0,1,0,0,,,18,22,28,0,0,,3,6,,42.44689,-76.49484,377069.6188000003,4700478.2711
30870272,366026,36,LINN ST,E COURT ST,DEAD END,19,30,166' S of E Yate St         ,SB travel lane                                    ,1,2016,9,26,Southbound,,1,1,1,1,0,0,4,14,21,14,10,8,10,10,18,15,17,25,17,10,7,6,3,4,217,1.074,1,202,25,18,1,201,11,0,1,0,0,0,0,0,0,0,0,,214,6,0,0,0,0,94,5,0,0,1,0,0,,,17,21,25,0,0,,3,6,,42.44689,-76.49484,377069.6188000003,4700478.2711
30870273,366026,36,LINN ST,E COURT ST,DEAD END,19,30,166' S of E Yate St         ,,1,2016,9,26,Combined Total,Y,2,2,2,1,0,0,6,34,30,19,16,18,21,24,30,27,32,50,28,20,15,11,5,6,399,1.074,1,371,50,18,1,374,19,1,1,0,0,0,0,0,0,0,0,,396,5,1,1,0,0,94,5,0,0,1,0,0,,,18,21,26,0,0,,3,6,,42.44689,-76.49484,377069.6188000003,4700478.2711
